# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Web Edition
# File: D:\大二下\数电\数电实验\数电实验6\migration.csv
# Generated on: Fri May 28 10:58:44 2021

,No Migration
Pin Number,Pin Function,I/O Bank,VREF Group
PIN_H22,Row I/O,2,B2_N1
PIN_J1,GND,,
PIN_J2,Row I/O,5,B5_N0
PIN_J3,Row I/O,5,B5_N0
PIN_J4,VREFB5N0,5,B5_N0
PIN_J5,Row I/O,5,B5_N0
PIN_J6,Row I/O,5,B5_N0
PIN_J7,Row I/O,5,B5_N1
PIN_J8,Row I/O,5,B5_N1
PIN_J9,VCCINT,,
PIN_J10,GND,,
PIN_J11,VCCINT,,
PIN_J12,GND,,
PIN_J13,VCCINT,,
PIN_J14,GND,,
PIN_J15,Column I/O,3,B3_N1
PIN_J16,Row I/O,2,B2_N1
PIN_J17,Row I/O,2,B2_N1
PIN_J18,Row I/O,2,B2_N1
PIN_J19,Row I/O,2,B2_N1
PIN_J20,Row I/O,2,B2_N1
PIN_J21,Row I/O,2,B2_N1
PIN_J22,GND,,
PIN_K1,Row I/O,5,B5_N0
PIN_K2,Row I/O,5,B5_N0
PIN_K3,Row I/O,5,B5_N0
PIN_K4,Row I/O,5,B5_N0
PIN_K5,Row I/O,5,B5_N0
PIN_K6,Row I/O,5,B5_N0
PIN_K7,Row I/O,5,B5_N0
PIN_K8,Row I/O,5,B5_N0
PIN_K9,GND,,
PIN_K10,VCCINT,,
PIN_K11,GND,,
PIN_K12,VCCINT,,
PIN_K13,GND,,
PIN_K14,VCCPD2,,
PIN_K15,Row I/O,2,B2_N1
PIN_K16,Row I/O,2,B2_N1
PIN_K17,Row I/O,2,B2_N1
PIN_K18,Row I/O,2,B2_N1
PIN_K19,Row I/O,2,B2_N1
PIN_K20,Row I/O,2,B2_N1
PIN_K21,Row I/O,2,B2_N1
PIN_K22,Row I/O,2,B2_N1
PIN_L1,VCCIO5,5,
PIN_L2,Row I/O,5,B5_N0
PIN_L3,Row I/O,5,B5_N0
PIN_L4,GNDA_PLL4,,
PIN_L5,GNDA_PLL4,,
PIN_L6,VCCD_PLL4,,
PIN_L7,Row I/O,5,B5_N0
PIN_L8,Row I/O,5,B5_N0
PIN_L9,VCCPD5,,
PIN_L10,GND,,
PIN_L11,VCCINT,,
PIN_L12,GND,,
PIN_L13,VCCINT,,
PIN_L14,GND,,
PIN_L15,Row I/O,2,B2_N1
PIN_L16,Row I/O,2,B2_N1
PIN_L17,GNDA_PLL1,,
PIN_L18,GNDA_PLL1,,
PIN_L19,VREFB2N1,2,B2_N1
PIN_L20,Row I/O,2,B2_N1
PIN_L21,Row I/O,2,B2_N1
PIN_L22,VCCIO2,2,
PIN_M1,VCCIO6,6,
PIN_M2,Dedicated Clock,5,B5_N0
PIN_M3,Dedicated Clock,5,B5_N0
PIN_M4,VCCA_PLL3,,
PIN_M5,VCCD_PLL3,,
PIN_M6,VCCA_PLL4,,
PIN_M7,GND,,
PIN_M8,VCCINT,,
PIN_M9,GND,,
PIN_M10,VCCINT,,
PIN_M11,GND,,
PIN_M12,VCCINT,,
PIN_M13,GND,,
PIN_M14,VCCINT,,
PIN_M15,GND,,
PIN_M16,VCCD_PLL1,,
PIN_M17,VCCA_PLL1,,
PIN_M18,VCCD_PLL2,,
PIN_M19,VCCA_PLL2,,
PIN_M20,Dedicated Clock,2,B2_N1
PIN_M21,Dedicated Clock,2,B2_N1
PIN_M22,VCCIO1,1,
PIN_N1,Row I/O,6,B6_N1
PIN_N2,Row I/O,6,B6_N1
PIN_N3,Dedicated Clock,6,B6_N1
PIN_N4,Dedicated Clock,6,B6_N1
PIN_N5,GNDA_PLL3,,
PIN_N6,GNDA_PLL3,,
PIN_N7,Row I/O,6,B6_N1
PIN_N8,Row I/O,6,B6_N1
PIN_N9,VCCPD6,,
PIN_N10,GND,,
PIN_N11,VCCINT,,
PIN_N12,GND,,
PIN_N13,VCCINT,,
PIN_N14,GND,,
PIN_N15,Row I/O,1,B1_N0
PIN_N16,Row I/O,1,B1_N0
PIN_N17,GNDA_PLL2,,
PIN_N18,GNDA_PLL2,,
PIN_N19,Dedicated Clock,1,B1_N0
PIN_N20,Dedicated Clock,1,B1_N0
PIN_N21,Row I/O,1,B1_N0
PIN_N22,Row I/O,1,B1_N0
PIN_P1,GND,,
PIN_P2,Row I/O,6,B6_N1
PIN_P3,Row I/O,6,B6_N1
PIN_P4,VREFB6N1,6,B6_N1
PIN_P5,Row I/O,6,B6_N1
PIN_P6,Row I/O,6,B6_N1
PIN_P7,Row I/O,6,B6_N1
PIN_P8,Row I/O,6,B6_N1
PIN_P9,VCCINT,,
PIN_P10,VCCPD7,,
PIN_P11,GND,,
PIN_P12,VCCINT,,
PIN_P13,GND,,
PIN_P14,VCCINT,,
PIN_P15,VCCPD1,,
PIN_P16,Row I/O,1,B1_N0
PIN_P17,Row I/O,1,B1_N0
PIN_P18,Row I/O,1,B1_N0
PIN_P19,Row I/O,1,B1_N0
PIN_P20,Row I/O,1,B1_N0
PIN_P21,Row I/O,1,B1_N0
PIN_P22,GND,,
PIN_R1,Row I/O,6,B6_N1
PIN_R2,Row I/O,6,B6_N1
PIN_R3,Row I/O,6,B6_N1
PIN_R4,Row I/O,6,B6_N1
PIN_R5,Row I/O,6,B6_N1
PIN_R6,Row I/O,6,B6_N1
PIN_R7,Row I/O,6,B6_N0
PIN_R8,Row I/O,6,B6_N0
PIN_R9,Column I/O,7,B7_N1
PIN_R10,GND,,
PIN_R11,VCC_PLL6_OUT,10,
PIN_R12,VCCA_PLL6,,
PIN_R13,VCCPD8,,
PIN_R14,Column I/O,8,B8_N0
PIN_R15,Column I/O,8,B8_N0
PIN_R16,Row I/O,1,B1_N1
PIN_R17,Row I/O,1,B1_N1
PIN_R18,Row I/O,1,B1_N0
PIN_R19,Row I/O,1,B1_N0
PIN_R20,VREFB1N0,1,B1_N0
PIN_R21,Row I/O,1,B1_N0
PIN_R22,Row I/O,1,B1_N0
PIN_T1,Row I/O,6,B6_N1
PIN_T2,Row I/O,6,B6_N1
PIN_T3,Row I/O,6,B6_N0
PIN_T4,Row I/O,6,B6_N0
PIN_T5,Row I/O,6,B6_N0
PIN_T6,Row I/O,6,B6_N0
PIN_T7,Column I/O,7,B7_N1
PIN_T8,Column I/O,7,B7_N1
PIN_T9,Column I/O,7,B7_N1
PIN_T10,Column I/O,7,B7_N0
PIN_T11,GNDA_PLL6,,
PIN_T12,GNDA_PLL6,,
PIN_T13,Column I/O,8,B8_N1
PIN_T14,Column I/O,8,B8_N0
PIN_T15,Column I/O,8,B8_N0
PIN_T16,Column I/O,8,B8_N0
PIN_T17,Row I/O,1,B1_N1
PIN_T18,Row I/O,1,B1_N1
PIN_T19,Row I/O,1,B1_N1
PIN_T20,Row I/O,1,B1_N1
PIN_T21,Row I/O,1,B1_N0
PIN_T22,Row I/O,1,B1_N0
PIN_U1,Row I/O,6,B6_N0
PIN_U2,Row I/O,6,B6_N0
PIN_U3,VREFB6N0,6,B6_N0
PIN_U4,Row I/O,6,B6_N0
PIN_U5,Row I/O,6,B6_N0
PIN_U6,Column I/O,7,B7_N1
PIN_U7,Column I/O,7,B7_N1
PIN_U8,Column I/O,7,B7_N1
PIN_U9,Column I/O,7,B7_N1
PIN_U10,Column I/O,7,B7_N0
PIN_U11,VCCD_PLL6,,
PIN_U12,Column I/O,8,B8_N1
PIN_U13,Column I/O,8,B8_N1
PIN_U14,Column I/O,8,B8_N0
PIN_U15,Column I/O,8,B8_N0
PIN_U16,Column I/O,8,B8_N0
PIN_U17,Row I/O,1,B1_N1
PIN_U18,Row I/O,1,B1_N1
PIN_U19,Row I/O,1,B1_N1
PIN_U20,Row I/O,1,B1_N1
PIN_U21,Row I/O,1,B1_N0
PIN_U22,Row I/O,1,B1_N0
PIN_V1,Row I/O,6,B6_N0
PIN_V2,Row I/O,6,B6_N0
PIN_V3,Row I/O,6,B6_N0
PIN_V4,Row I/O,6,B6_N0
PIN_V5,Dedicated Programming,7,B7_N1
PIN_V6,Column I/O,7,B7_N1
PIN_V7,Column I/O,7,B7_N1
PIN_V8,Column I/O,7,B7_N1
PIN_V9,Column I/O,10,B7_N0
PIN_V10,Column I/O,7,B7_N1
PIN_V11,Column I/O,8,B8_N1
PIN_V12,Column I/O,8,B8_N1
PIN_V13,Column I/O,8,B8_N1
PIN_V14,Column I/O,8,B8_N0
PIN_V15,Column I/O,8,B8_N0
PIN_V16,Column I/O,8,B8_N0
PIN_V17,Dedicated Programming,8,B8_N0
PIN_V18,Row I/O,1,B1_N1
PIN_V19,Row I/O,1,B1_N1
PIN_V20,VREFB1N1,1,B1_N1
PIN_V21,Row I/O,1,B1_N1
PIN_V22,Row I/O,1,B1_N1
PIN_W1,Row I/O,6,B6_N0
PIN_W2,Row I/O,6,B6_N0
PIN_W3,Row I/O,6,B6_N0
PIN_W4,Row I/O,6,B6_N0
PIN_W5,Column I/O,7,B7_N1
PIN_W6,VREFB7N1,7,B7_N1
PIN_W7,Column I/O,7,B7_N1
PIN_W8,VREFB7N0,7,B7_N0
PIN_W9,Column I/O,10,B7_N0
PIN_W10,Column I/O,7,B7_N0
PIN_W11,Column I/O,8,B8_N1
PIN_W12,Column I/O,8,B8_N1
PIN_W13,Column I/O,8,B8_N1
PIN_W14,Column I/O,8,B8_N0
PIN_W15,Column I/O,8,B8_N0
PIN_W16,Column I/O,8,B8_N0
PIN_W17,Column I/O,8,B8_N0
PIN_W18,Dedicated Programming,8,B8_N0
PIN_W19,Row I/O,1,B1_N1
PIN_W20,Row I/O,1,B1_N1
PIN_W21,Row I/O,1,B1_N1
PIN_W22,Row I/O,1,B1_N1
PIN_Y1,Row I/O,6,B6_N0
PIN_Y2,Row I/O,6,B6_N0
PIN_Y3,Column I/O,7,B7_N1
PIN_Y4,PLL_ENA,7,B7_N1
PIN_Y5,Column I/O,7,B7_N0
PIN_Y6,Column I/O,7,B7_N0
PIN_Y7,Column I/O,7,B7_N0
PIN_Y8,Column I/O,7,B7_N0
PIN_Y9,Column I/O,10,B7_N0
PIN_Y10,Column I/O,7,B7_N0
PIN_Y11,Column I/O,7,B7_N0
PIN_Y12,Column I/O,8,B8_N1
PIN_Y13,Column I/O,8,B8_N1
PIN_Y14,Column I/O,8,B8_N0
PIN_Y15,Column I/O,8,B8_N1
PIN_Y16,Column I/O,8,B8_N1
PIN_Y17,Column I/O,8,B8_N1
PIN_Y18,Column I/O,8,B8_N1
PIN_Y19,VREFB8N0,8,B8_N0
PIN_Y20,Column I/O,8,B8_N0
PIN_Y21,Row I/O,1,B1_N1
PIN_Y22,Row I/O,1,B1_N1
